ENTREZID	SYMBOL
1910	EDNRB
1912	PHC2
192670	AGO4
1956	EGFR
1959	EGR2
1964	EIF1AX
196477	CCER1
196528	ARID2
197258	FUK
1974	EIF4A2
1993	ELAVL2
199834	LCE4A
1999	ELF3
199920	C1orf168
2000	ELF4
200162	SPAG17
200424	TET3
2005	ELK4
2006	ELN
201163	FLCN
201229	LYRM9
202559	KHDRBS2
2033	EP300
203447	NRK
2041	EPHA1
2042	EPHA3
2044	EPHA5
2045	EPHA7
2047	EPHB1
2050	EPHB4
2060	EPS15
2064	ERBB2
2065	ERBB3
2066	ERBB4
2068	ERCC2
207	AKT1
2070	EYA4
2071	ERCC3
2072	ERCC4
2073	ERCC5
2074	ERCC6
2077	ERF
2078	ERG
208	AKT2
2099	ESR1
2113	ETS1
2115	ETV1
2118	ETV4
2119	ETV5
2120	ETV6
2122	MECOM
2125	EVPL
213	ALB
2130	EWSR1
2131	EXT1
2132	EXT2
2146	EZH2
2153	F5
2157	F8
217	ALDH2
2175	FANCA
2176	FANCC
2177	FANCD2
2178	FANCE
2181	ACSL3
2185	PTK2B
2186	BPTF
2188	FANCF
2189	FANCG
219285	SAMD9L
219432	OR4C6
219437	OR5L1
2195	FAT1
219527	LRRC55
219578	ZNF804B
2196	FAT2
219743	TYSND1
219870	OR10G9
219965	OR5B17
219990	OOSP2
2205	FCER1A
221002	RASGEF1A
221061	FAM171A1
221074	SLC39A12
2213	FCGR2B
221322	TBC1D32
221895	JAZF1
221981	THSD7A
222256	CDHR3
222546	RFX6
2243	FGA
2250	FGF5
2260	FGFR1
2261	FGFR3
2262	GPC5
2263	FGFR2
2264	FGFR4
2271	FH
2272	FHIT
22806	IKZF3
22807	IKZF2
22852	ANKRD26
22859	ADGRL1
22861	NLRP1
22865	SLITRK3
22882	ZHX2
22894	DIS3
22906	TRAK1
22947	DUX4L1
22978	NT5C2
22982	DIP2C
22992	KDM2A
22998	LIMCH1
22999	RIMS1
23001	WDFY3
23024	PDZRN3
23037	PDZD2
2304	FOXE1
23042	PDXDC1
23046	KIF21B
23048	FNBP1
23072	HECW1
23077	MYCBP2
2308	FOXO1
23085	ERC1
23086	EXPH5
2309	FOXO3
23092	ARHGAP26
23095	KIF1B
23111	SPG20
23122	CLASP2
23129	PLXND1
2313	FLI1
23130	ATG2A
23136	EPB41L3
23140	ZZEF1
23141	ANKLE2
23152	CIC
23157	SEPT6
23180	RFTN1
23191	CYFIP1
2321	FLT1
23217	ZFR2
2322	FLT3
23224	SYNE2
2324	FLT4
23251	KIAA1024
23261	CAMTA1
23266	ADGRL2
23269	MGA
23281	MTUS2
23284	ADGRL3
23305	ACSL6
23314	SATB2
2334	AFF2
23345	SYNE1
23365	ARHGEF12
23373	CRTC1
23385	NCSTN
23399	CTDNEP1
23405	DICER1
23451	SF3B1
23462	HEY1
23469	PHF3
23476	BRD4
23499	MACF1
23504	RIMBP2
23512	SUZ12
23522	KAT6B
23533	PIK3R5
23592	LEMD3
23598	PATZ1
23619	ZIM2
23624	CBLC
23742	NPAP1
238	ALK
239	ALOX12
2475	MTOR
25	ABL1
2515	ADAM2
2521	FUS
2531	KDSR
253260	RICTOR
2534	FYN
2538	G6PC
254778	C8orf46
255057	CBARP
2554	GABRA1
255743	NPNT
2559	GABRA6
2561	GABRB2
256281	NUDT14
256435	ST6GALNAC3
2565	GABRG1
256646	NUTM1
25791	NGEF
25893	TRIM58
25901	CCDC28A
25913	POT1
25914	RTTN
259173	ALS2CL
259232	NALCN
25925	ZNF521
259283	MDS2
25937	WWTR1
25939	SAMHD1
25942	SIN3A
25953	PNKD
25978	CHMP2B
25988	HINFP
26005	C2CD3
260293	CYP4X1
26038	CHD5
26039	SS18L1
26040	SETBP1
26047	CNTNAP2
26050	SLITRK5
26058	GIGYF2
26137	ZBTB20
26191	PTPN22
2623	GATA1
2624	GATA2
26245	OR2M4
2625	GATA3
26338	OR5L2
26503	SLC17A5
26511	CHIC2
26953	RANBP6
26986	PABPC1
27	ABL2
27004	TCL6
27086	FOXP1
27125	AFF4
27127	SMC1B
27154	BRPF3
27164	SALL3
27181	SIGLEC8
2719	GPC3
27231	NMRK2
27253	PCDH17
27284	SULT1B1
273	AMPH
27315	PGAP2
27316	RBMX
27328	PCDH11X
27332	ZNF638
27340	UTP20
2737	GLI3
27436	EML4
27445	PCLO
2765	GML
2767	GNA11
2769	GNA15
2771	GNAI2
2776	GNAQ
2778	GNAS
2779	GNAT1
280	AMY2B
282770	OR10AG1
283092	OR4C13
283310	OTOGL
283316	CD163L1
283383	ADGRD1
283464	GXYLT1
283651	HMGN2P46
284	ANGPT1
284391	ZNF844
284521	OR2L13
284525	SLC9C2
2847	MCHR1
28513	CDH19
285175	UNC80
285313	IGSF10
2854	GPR32
286499	FAM133A
286530	P2RY8
287	ANK2
2874	GPS2
288	ANK3
2880	GPX5
2885	GRB2
2892	GRIA3
2899	GRIK3
290	ANPEP
2903	GRIN2A
29072	SETD2
29086	BABAM1
2911	GRM1
29117	BRD7
29119	CTNNA3
29126	CD274
2913	GRM3
2918	GRM8
2956	MSH6
2969	GTF2I
29761	USP25
2977	GUCY1A2
29775	CARD10
29844	TFPT
29940	DSE
29994	BAZ2B
29998	GLTSCR1
30012	TLX3
3006	HIST1H1C
3007	HIST1H1D
3008	HIST1H1E
3009	HIST1H1B
3013	HIST1H2AD
3017	HIST1H2BD
3020	H3F3A
3021	H3F3B
3080	CFHR2
30849	PIK3R4
3092	HIP1
3105	HLA-A
3106	HLA-B
3110	MNX1
3131	HLF
3132	HLA-DRB9
3146	HMGB1
3159	HMGA1
3169	FOXA1
3177	SLC29A2
317703	VN1R4
317754	POTED
3181	HNRNPA2B1
3190	HNRNPK
3195	TLX1
3204	HOXA7
3205	HOXA9
3207	HOXA11
3209	HOXA13
3227	HOXC11
3229	HOXC13
3237	HOXD11
3239	HOXD13
324	APC
3242	HPD
3265	HRAS
330	BIRC3
3320	HSP90AA1
3326	HSP90AB1
3354	HTR1E
3371	TNC
337976	KRTAP20-2
338	APOB
338398	TAS2R60
338645	LUZP2
339145	FAM92B
3394	IRF8
339479	BRINP3
3399	ID3
339967	TMPRSS11A
339970	GCOM2
340273	ABCB5
340419	RSPO2
340578	DCAF12L2
341350	OVCH1
341359	SYT10
341640	FREM2
3417	IDH1
3418	IDH2
343171	OR2W3
343406	OR10R2
3437	IFIT3
345930	ECT2L
346007	EYS
346157	ZNF391
347730	LRRTM1
3481	IGF2
3482	IGF2R
348980	HCN1
3492	IGH
353332	KRTAP12-1
3535	IGL
355	FAS
3552	IL1A
3553	IL1B
3558	IL2
3561	IL2RG
3572	IL6ST
3575	IL7R
3597	IL13RA1
3624	INHBA
3631	INPP4A
3660	IRF2
3662	IRF4
3664	IRF6
3667	IRS1
367	AR
3676	ITGA4
3702	ITK
3707	ITPKB
3716	JAK1
3717	JAK2
3718	JAK3
3725	JUN
3742	KCNA6
374393	FAM111B
374819	LRRC37A3
374864	CCDC178
375033	PEAR1
375248	ANKRD36
375775	PNPLA7
3762	KCNJ5
378938	MALAT1
3791	KDR
3792	KEL
3799	KIF5B
3815	KIT
3817	KLK2
3845	KRAS
386617	KCTD8
387	RHOA
388	RHOB
388468	POTEC
388591	RNF207
388633	LDLRAD1
388677	NOTCH2NL
389197	C4orf50
3895	KTN1
389692	MAFA
3899	AFF3
390064	OR51I2
390079	OR52E8
390151	OR8H2
390155	OR5T1
390157	OR8K1
390265	OR10G7
3908	LAMA2
3910	LAMA4
391114	OR6K3
391189	OR11L1
391195	OR2T33
392232	LOC392232
3927	LASP1
3932	LCK
3936	LCP1
3954	LETM1
3977	LIFR
399	RHOH
4004	LMO1
4005	LMO2
4009	LMX1A
402317	OR2A42
4026	LPP
4036	LRP2
4048	LTA4H
405	ARNT
4058	LTK
4060	LUM
4066	LYL1
4087	SMAD2
4089	SMAD4
4094	MAF
4105	MAGEA6
414059	TBC1D3B
4149	MAX
4193	MDM2
4194	MDM4
4208	MEF2C
4214	MAP3K1
4216	MAP3K4
4217	MAP3K5
4221	MEN1
4224	MEP1A
4233	MET
425054	VCX3B
4261	CIITA
4286	MITF
4288	MKI67
4291	MLF1
4292	MLH1
4293	MAP3K9
4297	KMT2A
4298	MLLT1
4299	AFF1
4300	MLLT3
4301	AFDN
4302	MLLT6
4303	FOXO4
4306	NR3C2
4322	MMP13
4330	MN1
4331	MNAT1
4342	MOS
435	ASL
4352	MPL
439915	KRTAP5-5
440093	H3F3C
440275	EIF2AK4
440279	UNC13C
442361	OR2A2
4430	MYO1B
4436	MSH2
4437	MSH3
4478	MSN
4481	MSR1
4485	MST1
4486	MST1R
4513	COX2
4515	MTCP1
4582	MUC1
4583	MUC2
4585	MUC4
4588	MUC6
4595	MUTYH
460	ASTN1
4602	MYB
4603	MYBL1
4609	MYC
4610	MYCL
4613	MYCN
4615	MYD88
4620	MYH2
4622	MYH4
4627	MYH9
4629	MYH11
463	ZFHX3
4649	MYO9A
4654	MYOD1
466	ATF1
4666	NACA
4683	NBN
4685	NCAM2
4703	NEB
471	ATIC
4715	NDUFB9
472	ATM
4751	NEK2
476	ATP1A1
4763	NF1
4771	NF2
4780	NFE2L2
4781	NFIB
4791	NFKB2
4792	NFKBIA
4841	NONO
4849	CNOT3
4851	NOTCH1
4853	NOTCH2
4854	NOTCH3
4869	NPM1
488	ATP2A2
4893	NRAS
4914	NTRK1
4915	NTRK2
4916	NTRK3
492	ATP2B3
4926	NUMA1
4928	NUP98
494119	SPANXN2
495	ATP4A
4958	OMD
5018	OXA1L
5046	PCSK6
5049	PAFAH1B2
50615	IL21R
5063	PAK3
5077	PAX3
5079	PAX5
50802	IGK
5081	PAX7
50853	VILL
5087	PBX1
50939	IMPG2
50944	SHANK1
50945	TBX22
5101	PCDH9
51059	FAM135B
5108	PCM1
51119	SBDS
51134	CEP83
51135	IRAK4
51163	DBR1
51199	NIN
51225	ABI3
51259	TMEM216
51289	RXFP3
51322	WAC
51364	ZMYND10
51366	UBR5
51375	SNX7
51428	DDX41
51438	MAGEC2
5148	PDE6G
51501	HIKESHI
51517	NCKIPSD
5155	PDGFB
5156	PDGFRA
5159	PDGFRB
51592	TRIM33
5162	PDHB
51684	SUFU
5173	PDYN
51755	CDK12
5178	PEG3
5187	PER1
5214	PFKP
5243	ABCB1
5265	SERPINA1
5286	PIK3C2A
5287	PIK3C2B
5288	PIK3C2G
5290	PIK3CA
5291	PIK3CB
5292	PIM1
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5297	PI4KA
5314	PKHD1
5324	PLAG1
5332	PLCB4
53335	BCL11A
5335	PLCG1
53353	LRP1B
5336	PLCG2
5362	PLXNA2
5371	PML
5378	PMS1
5387	PMS2P3
53942	CNTN5
5395	PMS2
5396	PRRX1
54084	TSPEAR
5411	PNN
5413	SEPT5
54206	ERRFI1
5426	POLE
54437	SEMA5B
54439	RBM27
545	ATR
5450	POU2AF1
54510	PCDH18
5452	POU2F2
546	ATRX
5460	POU5F1
54674	LRRN3
5468	PPARG
5469	MED1
54738	FEV
54758	KLHDC4
54768	HYDIN
54790	TET2
54796	BNC2
54825	CDHR2
54855	FAM46C
54880	BCOR
54894	RNF43
54904	WHSC1L1
54937	SOHLH2
54949	SDHAF2
54989	ZNF770
55023	PHIP
55055	ZWILCH
5506	PPP1R3A
55117	SLC6A15
5518	PPP2R1A
55190	NUDT11
55193	PBRM1
55196	KIAA1551
5525	PPP2R5A
55252	ASXL2
55294	FBXW7
55359	STYK1
5537	PPP6C
55422	ZNF331
5545	PRB4
5546	PRCC
55503	TRPV6
5551	PRF1
55511	SAGE1
55552	ZNF823
55558	PLXNA3
55561	CDC42BPG
55567	DNAH3
55582	KIF27
55600	ITLN1
55605	KIF21A
55607	PPP1R9A
55613	MTMR8
55614	KIF16B
55636	CHD7
5565	PRKAB2
5566	PRKACA
55698	RADIL
55729	ATF7IP
5573	PRKAR1A
55754	TMEM30A
55759	WDR12
55770	EXOC2
5579	PRKCB
5582	PRKCG
55821	ALLC
55824	PAG1
5587	PRKD1
55914	ERBIN
5594	MAPK1
55966	AJAP1
5598	MAPK7
56034	PDGFC
5604	MAP2K1
5605	MAP2K2
5606	MAP2K3
56097	PCDHGC5
56128	PCDHB8
5613	PRKX
56130	PCDHB6
56136	PCDHA13
56171	DNAH7
5618	PRLR
56302	TRPV5
56339	METTL3
5649	RELN
56652	C10orf2
567	B2M
56776	FMN2
56853	CELF4
56884	FSTL5
56979	PRDM9
56999	ADAMTS9
57007	ACKR3
57016	AKR1B10
57018	CCNL1
57082	KNL1
57088	PLSCR4
57120	GOPC
57152	SLURP1
57188	ADAMTSL3
57194	ATP10A
5727	PTCH1
5728	PTEN
57282	SLC4A10
5737	PTGFR
57451	TENM2
57486	NLN
57492	ARID1B
57521	RPTOR
57529	RGAG1
57537	SORCS2
57554	LRRC7
57591	MKL1
57592	ZNF687
57616	TSHZ3
57619	SHROOM3
5764	PTN
57663	USP29
57670	KIAA1549
57674	RNF213
57678	GPAM
57683	ZDBF2
577	ADGRB3
5770	PTPN1
57721	METTL14
57724	EPG5
57731	SPTBN4
5781	PTPN11
5782	PTPN12
57820	CCNB1IP1
5784	PTPN14
5787	PTPRB
5788	PTPRC
5789	PTPRD
5796	PTPRK
5800	PTPRO
58508	KMT2C
5879	RAC1
5885	RAD21
5890	RAD51B
5894	RAF1
5897	RAG2
5900	RALGDS
5910	RAP1GDS1
5914	RARA
5921	RASA1
5925	RB1
5927	KDM5A
5930	RBBP6
595	CCND1
596	BCL2
5966	REL
5979	RET
5987	TRIM27
60	ACTB
6002	RGS12
6009	RHEB
6014	RIT2
6016	RIT1
602	BCL3
603	BCL5
604	BCL6
60494	CCDC81
605	BCL7A
607	BCL9
608	TNFRSF17
6092	ROBO2
6098	ROS1
6103	RPGR
6125	RPL5
613	BCR
6134	RPL10
6146	RPL22
6184	RPN1
6197	RPS6KA3
6232	RPS27
6249	CLIP1
6256	RXRA
6261	RYR1
6262	RYR2
63035	BCORL1
6331	SCN5A
6335	SCN9A
6336	SCN10A
6385	SDC4
63895	PIEZO2
639	PRDM1
6390	SDHB
6391	SDHC
6392	SDHD
63923	TNN
63973	NEUROG2
63976	PRDM16
64005	MYO1G
6406	SEMG1
64072	CDH23
64084	CLSTN2
641	BLM
64109	CRLF2
6416	MAP2K4
6418	SET
641977	SEPT7P2
6421	SFPQ
64241	ABCG8
6426	SRSF1
6427	SRSF2
6428	SRSF3
64324	NSD1
64403	CDH24
644591	PPIAL4G
6446	SGK1
64478	CSMD1
6455	SH3GL1
646450	ARIH2OS
64750	SMURF2
6476	SI
64764	CREB3L2
64783	RBM15
64784	CRTC3
64901	RANBP17
6491	STIL
64919	BCL11B
6502	SKP2
65057	ACD
6511	SLC1A6
65217	PCDH15
6526	SLC5A3
6530	SLC6A2
653247	PRB2
653390	RRN3P2
6538	SLC6A11
6564	SLC15A1
6565	SLC15A2
657	BMPR1A
6594	SMARCA1
6597	SMARCA4
6598	SMARCB1
6602	SMARCD1
6605	SMARCE1
6608	SMO
6614	SIGLEC1
6626	SNRPA
6651	SON
6657	SOX2
6660	SOX5
6662	SOX9
667	DST
668	FOXL2
6701	SPRR2B
6708	SPTA1
672	BRCA1
673	BRAF
6741	SSB
675	BRCA2
6756	SSX1
6757	SSX2
6759	SSX4
6760	SS18
677	ZFP36L1
6774	STAT3
6775	STAT4
6777	STAT5B
6778	STAT6
6781	STC1
6794	STK11
6850	SYK
6854	SYN2
6860	SYT4
6867	TACC1
6872	TAF1
688	KLF5
6886	TAL1
6887	TAL2
6917	TCEA1
6921	TCEB1
6926	TBX3
6927	HNF1A
6928	HNF1B
6929	TCF3
6934	TCF7L2
6938	TCF12
694	BTG1
6955	TRA
6957	TRB
6964	TRD
6996	TDG
701	BUB1B
7015	TERT
7027	TFDP1
7030	TFE3
7037	TFRC
7048	TGFBR2
7057	THBS1
7062	TCHH
7080	NKX2-1
7091	TLE4
7092	TLL1
7093	TLL2
7097	TLR2
7099	TLR4
7113	TMPRSS2
7117	TMSB4XP8
7124	TNF
7128	TNFAIP3
7130	TNFAIP6
7143	TNR
7150	TOP1
7157	TP53
7170	TPM3
7171	TPM4
7173	TPO
7175	TPR
718	C3
7187	TRAF3
7188	TRAF5
7216	TRO
7227	TRPS1
7248	TSC1
7249	TSC2
7253	TSHR
7272	TTK
7273	TTN
7278	TUBA3C
727832	GOLGA6L6
728118	NUTM2A
728276	CLEC19A
729262	NUTM2B
7307	U2AF1
7314	UBB
7319	UBE2A
7321	UBE2D1
7365	UGT2B10
7399	USH2A
7403	KDM6A
7428	VHL
7430	EZR
7450	VWF
7454	WAS
7455	ZAN
7468	WHSC1
7472	WNT2
7486	WRN
7490	WT1
7494	XBP1
7507	XPA
7508	XPC
7512	XPNPEP2
7514	XPO1
7531	YWHAE
7543	ZFX
7547	ZIC3
7555	CNBP
7652	ZNF99
7681	MKRN3
7704	ZBTB16
7750	ZMYM2
7757	ZNF208
776	CACNA1D
7769	ZNF226
777	CACNA1E
7786	MAP3K12
781	CACNA2D1
7812	CSDE1
7832	BTG2
7837	PXDN
7840	ALMS1
7844	RNF103
7849	PAX8
7881	KCNAB1
79026	AHNAK
79037	PVRIG
79058	ASPSCR1
7913	DEK
79145	CHCHD7
79161	TMEM243
79190	IRX6
7942	TFEB
79544	OR4K1
7955	RNF217-AS1
79577	CDC73
79633	FAT4
79718	TBL1XR1
79728	PALB2
79755	ZNF750
7976	FZD3
79776	ZFHX4
79791	FBXO31
79799	UGT2A3
79822	ARHGAP28
79839	CCDC102B
79883	PODNL1
79892	MCMBP
799	CALCR
79937	CNTNAP3
7994	KAT6A
79983	POF1B
80036	TRPM3
80059	LRRTM4
80070	ADAMTS20
8013	NR4A3
8019	BRD3
80204	FBXO11
8021	NUP214
80230	RUFY1
80243	PREX2
8028	MLLT10
8030	CCDC6
80304	WDCP
80309	SPHKAP
8031	NCOA4
80312	TET1
80314	EPC1
80380	PDCD1LG2
80731	THSD7B
80737	VWA7
8085	KMT2D
8087	FXR1
8091	HMGA2
811	CALR
8115	TCL1A
81309	OR4C15
8148	TAF15
81501	DCSTAMP
81558	FAM117A
81608	FIP1L1
81614	NIPA2
81704	DOCK8
8178	ELL
81792	ADAMTS12
81831	NETO2
81839	VANGL1
8216	LZTR1
8218	CLTCL1
8233	ZRSR2
8239	USP9X
8241	RBM10
8242	KDM5C
8243	SMC1A
8289	ARID1A
8294	HIST1H4I
8295	TRRAP
8301	PICALM
8312	AXIN1
8314	BAP1
833	CARS
8332	HIST1H2AL
8334	HIST1H2AC
8339	HIST1H2BG
83417	FCRL4
8343	HIST1H2BF
8344	HIST1H2BE
8347	HIST1H2BC
8348	HIST1H2BO
8351	HIST1H3D
8352	HIST1H3C
8358	HIST1H3B
8360	HIST1H4D
8365	HIST1H4H
8366	HIST1H4B
83737	ITCH
83741	TFAP2D
83872	HMCN1
83990	BRIP1
83999	KREMEN1
8405	SPOP
84059	ADGRV1
8406	SRPX
84072	HORMAD1
84075	FSCB
84076	TKTL2
841	CASP8
84106	PRAM1
84107	ZIC4
84125	LRRIQ1
84128	WDR75
84133	ZNRF3
84159	ARID5B
84181	CHD6
84189	SLITRK6
84219	WDR24
84231	TRAF7
84295	PHF6
84376	HOOK3
8439	NSMAF
84433	CARD11
84435	ADGRA1
84441	MAML2
84444	DOT1L
84446	BRSK1
84448	ABLIM2
84451	MLK4
84461	NEURL4
84539	MCHR2
84570	COL25A1
84612	PARD6B
84620	ST6GAL2
84627	ZNF469
84636	GPR174
84643	KIF2B
84674	CARD6
84678	KDM2B
84700	MYO18B
84767	TRIM51
84808	PERM1
8481	OFD1
8493	PPM1D
84962	AJUBA
8502	PKP4
8506	CNTNAP1
8522	GAS7
8534	CHST1
85378	TUBGCP6
85414	SLC45A3
85441	HELZ2
85442	KNDC1
85452	CFAP74
8570	KHSRP
8590	OR6A2
861	RUNX1
862	RUNX1T1
8621	CDK13
8626	TP63
863	CBFA2T3
8633	UNC5C
8642	DCHS1
8648	NCOA1
865	CBFB
8651	SOCS1
8661	EIF3A
867	CBL
868	CBLB
8726	EED
8737	RIPK1
8743	TNFSF10
8756	ADAM7
8764	TNFRSF14
8797	TNFRSF10A
8805	TRIM24
8807	IL18RAP
8833	GMPS
8842	PROM1
8847	DLEU2
8848	TSC22D1
8859	STK19
8861	LDB1
887	CCKBR
8877	SPHK1
8880	FUBP1
8912	CACNA1H
8915	BCL10
8924	HERC2
8925	HERC1
8929	PHOX2B
894	CCND2
896	CCND3
8969	HIST1H2AG
89795	NAV3
898	CCNE1
89857	KLHL6
8997	KALRN
90	ACVR1
90167	FRMD7
9037	SEMA5A
90417	KNSTRN
9053	MAP7
9096	TBX18
9098	USP6
90993	CREB3L1
91	ACVR1B
910	CD1B
91010	FMNL3
91156	IGFN1
9122	SLC16A4
9125	CNOT9
9126	SMC3
9133	CCNB2
9135	RABEP1
91523	PCED1B
9159	PCSK7
91603	ZNF830
91661	ZNF765
9172	MYOM2
9175	MAP3K13
91752	ZNF804A
92	ACVR2A
92002	FAM58A
9201	DCLK1
92017	SNX29
9203	ZMYM3
92521	SPECC1
92552	ATXN3L
92737	DNER
92799	SHKBP1
92856	IMP4
9294	S1PR2
93035	PKHD1L1
9314	KLF4
9321	TRIP11
93492	TPTE2
9353	SLIT2
9368	SLC9A3R1
9369	NRXN3
9378	NRXN1
9379	NRXN2
940	CD28
9401	RECQL4
94025	MUC16
9407	TMPRSS11D
94234	FOXQ1
9425	CDYL
944	TNFSF8
9444	QKI
9472	AKAP6
948	CD36
9500	MAGED1
9542	NRG2
9577	BRE
9578	CDC42BPB
9601	PDIA4
9603	NFE2L3
9611	NCOR1
9612	NCOR2
965	CD58
9651	PLCH2
9659	PDE4DIP
9699	RIMS2
970	CD70
9700	ESPL1
9701	PPP6R2
9709	HERPUD1
972	CD74
9723	SEMA3E
973	CD79A
9730	DCAF1
9732	DOCK4
9734	HDAC9
974	CD79B
9743	ARHGAP32
9745	ZNF536
9757	KMT2B
9758	FRMPD4
9771	RAPGEF5
9774	BCLAF1
9776	ATG13
9794	MAML1
9811	CTIF
9816	URB2
9817	KEAP1
9820	CUL7
9832	JAKMIP2
9844	ELMO1
9859	CEP170
9891	NUAK1
9901	SRGAP3
9914	ATP2C2
9915	ARNT2
9920	KBTBD11
9935	MAFB
9940	DLEC1
9947	MAGEC1
995	CDC25C
9950	GOLGA5
996	CDC27
9965	FGF19
9967	THRAP3
9968	MED12
998	CDC42
999	CDH1
9990	SLC12A6
